id,client_id,account_id,type
1,1,1,owner
2,2,2,owner
3,3,2,user
4,4,3,owner
5,5,3,user
6,6,4,owner
7,7,5,owner
8,8,6,owner
9,9,7,owner
10,10,8,owner
11,11,8,user
12,12,9,owner
13,13,10,owner
14,14,11,owner
15,15,12,owner
16,16,12,user
17,17,13,owner
18,18,13,user
19,19,14,owner
20,20,15,owner
21,21,16,owner
22,22,17,owner
23,23,17,user
24,24,18,owner
25,25,19,owner
26,26,20,owner
27,27,21,owner
28,28,22,owner
29,29,23,owner
30,30,24,owner
31,31,25,owner
32,32,26,owner
33,33,27,owner
36,36,29,owner
37,37,29,user
38,38,30,owner
39,39,31,owner
40,40,32,owner
41,41,33,owner
42,42,34,owner
43,43,35,owner
44,44,36,owner
45,45,37,owner
46,46,38,owner
47,47,39,owner
48,48,40,owner
49,49,41,owner
50,50,42,owner
51,51,43,owner
52,52,44,owner
53,53,45,owner
55,55,47,owner
56,56,48,owner
57,57,48,user
58,58,49,owner
59,59,50,owner
60,60,51,owner
61,61,52,owner
62,62,53,owner
63,63,54,owner
64,64,55,owner
65,65,56,owner
66,66,57,owner
67,67,58,owner
68,68,59,owner
70,70,61,owner
71,71,61,user
72,72,62,owner
73,73,63,owner
74,74,63,user
75,75,64,owner
76,76,65,owner
77,77,66,owner
78,78,67,owner
79,79,68,owner
80,80,69,owner
81,81,70,owner
82,82,70,user
83,83,71,owner
84,84,71,user
85,85,72,owner
86,86,72,user
87,87,73,owner
89,89,75,owner
90,90,76,owner
91,91,77,owner
92,92,78,owner
93,93,79,owner
94,94,80,owner
95,95,80,user
96,96,81,owner
97,97,82,owner
98,98,83,owner
99,99,83,user
100,100,84,owner
101,101,85,owner
102,102,86,owner
103,103,86,user
105,105,88,owner
106,106,89,owner
107,107,90,owner
108,108,91,owner
110,110,93,owner
112,112,95,owner
113,113,95,user
114,114,96,owner
115,115,96,user
116,116,97,owner
117,117,97,user
118,118,98,owner
119,119,98,user
120,120,99,owner
121,121,100,owner
122,122,101,owner
123,123,102,owner
124,124,103,owner
125,125,104,owner
126,126,104,user
127,127,105,owner
128,128,106,owner
129,129,107,owner
130,130,108,owner
131,131,109,owner
132,132,110,owner
134,134,112,owner
135,135,112,user
136,136,113,owner
137,137,114,owner
138,138,115,owner
139,139,116,owner
140,140,116,user
141,141,117,owner
142,142,118,owner
143,143,119,owner
144,144,120,owner
145,145,121,owner
146,146,122,owner
147,147,123,owner
148,148,123,user
149,149,124,owner
150,150,125,owner
151,151,126,owner
152,152,127,owner
153,153,128,owner
154,154,129,owner
155,155,129,user
156,156,130,owner
157,157,131,owner
158,158,132,owner
159,159,132,user
160,160,133,owner
161,161,134,owner
162,162,135,owner
163,163,136,owner
164,164,137,owner
165,165,138,owner
166,166,138,user
167,167,139,owner
168,168,140,owner
169,169,141,owner
170,170,141,user
171,171,142,owner
172,172,142,user
173,173,143,owner
174,174,144,owner
175,175,145,owner
176,176,146,owner
178,178,148,owner
179,179,149,owner
180,180,150,owner
181,181,151,owner
182,182,151,user
183,183,152,owner
184,184,152,user
185,185,153,owner
186,186,154,owner
187,187,155,owner
188,188,156,owner
189,189,157,owner
190,190,158,owner
191,191,158,user
192,192,159,owner
193,193,160,owner
194,194,161,owner
195,195,162,owner
196,196,162,user
197,197,163,owner
198,198,164,owner
199,199,165,owner
200,200,165,user
201,201,166,owner
202,202,167,owner
203,203,168,owner
204,204,168,user
205,205,169,owner
206,206,170,owner
207,207,171,owner
208,208,172,owner
209,209,172,user
210,210,173,owner
211,211,173,user
212,212,174,owner
215,215,176,owner
216,216,177,owner
217,217,178,owner
218,218,179,owner
219,219,180,owner
221,221,181,owner
222,222,182,owner
223,223,183,owner
224,224,184,owner
225,225,185,owner
226,226,186,owner
227,227,187,owner
228,228,188,owner
229,229,189,owner
230,230,190,owner
231,231,191,owner
232,232,192,owner
233,233,193,owner
234,234,193,user
235,235,194,owner
236,236,195,owner
237,237,195,user
238,238,196,owner
239,239,197,owner
240,240,198,owner
241,241,199,owner
242,242,200,owner
243,243,201,owner
246,246,204,owner
247,247,205,owner
248,248,206,owner
249,249,206,user
250,250,207,owner
251,251,208,owner
252,252,209,owner
253,253,210,owner
254,254,211,owner
255,255,212,owner
256,256,213,owner
257,257,214,owner
258,258,214,user
259,259,215,owner
260,260,215,user
261,261,216,owner
262,262,217,owner
263,263,218,owner
264,264,219,owner
265,265,220,owner
266,266,221,owner
267,267,222,owner
268,268,223,owner
269,269,224,owner
270,270,225,owner
271,271,225,user
272,272,226,owner
273,273,227,owner
274,274,228,owner
275,275,229,owner
276,276,230,owner
277,277,230,user
278,278,231,owner
279,279,231,user
280,280,232,owner
282,282,234,owner
283,283,234,user
284,284,235,owner
285,285,236,owner
286,286,236,user
287,287,237,owner
288,288,238,owner
289,289,239,owner
290,290,240,owner
291,291,240,user
292,292,241,owner
293,293,242,owner
294,294,243,owner
